[0:00 - 0:02]  الحمد اللي يغرب العالمين
[20:22 - 20:24]  يبقى أول حاجة بنقول
[20:24 - 20:26]  إن
[20:26 - 20:29]  إن الأزان من العطايا التي فيه
[20:29 - 20:31]  غفران الزم
[20:31 - 20:33]  أو غفران الزم
[20:33 - 20:35]  يا الله
[20:35 - 20:36]  تلسة مصلتش
[20:36 - 20:37]  فا
[20:37 - 20:39]  تنتعرف إيمث الصلاة
[20:39 - 20:40]  إذا كان اللحواليها كده
[20:40 - 20:41]  ملهيئي
[20:42 - 20:43]  ولذلك
[20:43 - 20:45]  في بعض الناس
[20:45 - 20:46]  لا يجد صلاة
[20:46 - 20:47]  ولا يجد خشوع
[20:47 - 20:48]  ولا يجد راح
[20:48 - 20:49]  ولا يجد أي حاجة إلا في المهزج
[20:49 - 20:50]  حتى لو هي بن
[20:50 - 20:52]  فممكن تصدف المهزج
[20:52 - 20:53]  أهت صدف إن
[20:53 - 20:54]  أو دى المقصد المقصد
[20:54 - 20:56]  حضور الليه قل
[20:56 - 20:58]  لكن ينتدر رب
[20:58 - 20:59]  أن تصدي في البي
[20:59 - 21:02]  ولا تمنع من الصلاة في المهزج
[21:02 - 21:04]  إذا كان ثم مصلاحة أعلى
[21:04 - 21:05]  لها
[21:05 - 21:06]  ولقلبها
[21:06 - 21:08]  عمر رضي الله أنه
[21:08 - 21:10]  قال قال رسول الله
[21:10 - 21:12]  خذب على عطايا التانية
[21:12 - 21:16] скиип على وقد Doug
[21:16 - 21:26]  سي Winston
[21:26 - 21:30]  الآخر
[21:30 - 21:31]  نح santé
[21:31 - 21:35]  لا يجد أن لن يجد هد goats
[21:35 - 21:37]  عرفhand
[21:37 - 21:40]  ارد لقailنا
[21:40 - 21:44]  هولة ولا قوة إلا بالله يعني لا اتحول من حال الان
[21:44 - 21:49]  الى حال اخر من حال الكسر الى حال النشاط من حال طرق الصلاة
[21:49 - 21:54]  او اعدم التلبس بها الى حال التلبس بها إلا بقوة من الله
[21:54 - 22:00]  تتفعوني الى هذا ولا اتحول من رياء الى اخلاص ومن بدعة الى
[22:00 - 22:07]  التباع الا بقوة من الله تعينني وبستر من الله لا حول
[22:07 - 22:11]  ولا قوة إلا بالله. مش أنا لبظ أنا مش مجرد ننبصلي خراصة.
[22:11 - 22:19]  الله انتشالني من ما أنا فيه وبقوة منه دفعاتني فكان لي حول مختلف.
[22:19 - 22:25]  ثم قال حي على فلاحة المؤزن فقال قال لي قال للمستمع لحولة
[22:25 - 22:30]  لقوة اللبلاة. ثم قال المؤزن الله أكبر الله أكبر قال المستمع الله أكبر
[22:30 - 22:40]  ثم قال لله إلا الله أي مؤزن قال لله إلا الله من قلبه.
[22:40 - 22:47]  يعني لا مع بودة بحق إن الله قال النبي دخال الجنة.
[22:47 - 22:52]  إذا قال دخال الجنة يعني لو مش مع مؤزن كده.
[22:52 - 22:59]  إذا عندك فورس ينجم كل يوم خمس فورس لدخول الجنة كده.
[22:59 - 23:03]  كده من ببسي أبواج اللي المؤزن.
[23:03 - 23:07]  باب العزندس. وتجيب في الأخر الضياءة تبت حزر.
[23:07 - 23:11]  انت تبت حزر ما يفاش بالتفيدة.
[23:11 - 23:15]  ما يفاش ان اختضايا عالخيرته.
[23:15 - 23:18]  دعو الله أجمال.
[23:18 - 23:20]  طيب. ارغل أزن.
[23:20 - 23:24]  ومشين معاة. ونوحد اخدنا وفير له ذنبه.
[23:24 - 23:25]  و التن يدخل الجنة.
[23:25 - 23:29]  في تاني في الزانو ان نتخرب على بعض ولا استنها.
[23:29 - 23:30]  حمنا لسعدنا لسعدنا لسعدنا.
[23:30 - 23:33]  مستاق اللي. يقول عرض الله.
[23:33 - 23:34]  نعمر بن العرس النه.
[23:34 - 23:35]  سميع النبي.
[23:35 - 23:36]  صلى الله عليه وسلم.
[23:36 - 23:39]  يقول إذا سميعت مؤذن فقولوا مسلمة.
[23:39 - 23:41]  يقول ثم صلوا عليه.
[23:42 - 23:44]  إنه منصل علي صلات.
[23:44 - 23:47]  صلى الله عليه بها عشر.
[23:47 - 23:48]  يسلام علي جمال.
[23:48 - 23:52]  منصل علي النبي. بعد الأذان.
[23:52 - 23:55]  صلى الله عليه عشر.
[23:55 - 23:59]  وشوف الجمال بأصوب عدن الموت.
[23:59 - 24:00]  دموت رواعة.
[24:00 - 24:04]  وتخيل الله يصل عليك.
[24:04 - 24:07]  الله سبحانه وتعالى يصل عليك.
[24:07 - 24:09]  والصلام من الله فيه الرحمة.
[24:10 - 24:13]  وفي الذكر الحسن.
[24:13 - 24:13]  تخيل بها.
[24:13 - 24:15]  نبن لما يصل عليك.
[24:15 - 24:18]  الله يصل لك.
[24:18 - 24:19]  رواح العيات الأحزاد.
[24:19 - 24:21]  اشنتفا من الله يصل لك.
[24:21 - 24:25]  ها تخرج من الظلومات إلى النور.
[24:25 - 24:29]  هتلاقي في زوء ظلام الماء في قلب كرروحك
[24:29 - 24:32]  وغلق التفكير والتوخي قلت البصير
[24:32 - 24:36]  وقلت اللي اليرشاد والدور رشاد.
[24:36 - 24:38]  هتلاقي الحجد بتنعور.
[24:38 - 24:40]  له لأن الله صلى عليك.
[24:40 - 24:44]  وإذا صلى عليك يخرجكم من الظلومات إلى النور
[24:44 - 24:46]  بتلك الصلاة.
[24:46 - 24:49]  يباد من ضن الحاجات اللي انتم عارض لها
[24:49 - 24:53]  يبهت نور ينج ليل النصلا نور.
[24:53 - 24:54]  طيب خواصك ده.
[24:54 - 24:56]  ننال بعدها.
[24:56 - 24:59]  أصبر باستفتاني مع الأزان.
[24:59 - 25:02]  يقول النبي صلى الله عليه وسلم.
[25:02 - 25:04]  إذا سمعت ملمؤزن.
[25:04 - 25:06]  فقولوا مثلا ما يقول.
[25:06 - 25:10]  ثم صدوا عليها في إنه من صلع عليه صلاة
[25:10 - 25:13]  ونصدوا الصلاة ونصدوا الله عليه بها عشر.
[25:13 - 25:16]  ثم سلو
[25:16 - 25:19]  ثم سلو الله لي الوصيلة
[25:19 - 25:20]  بمكان في الجنة.
[25:20 - 25:22]  فإنها منزلة في الجنة.
[25:22 - 25:23]  في مكان في الجنة السمهة
[25:23 - 25:25]  المكان جرسمها الوصيلة.
[25:25 - 25:29]  لا تنبغ لأحد من عبادي
[25:29 - 25:31]  إلا لعبد من عباد الله.
[25:31 - 25:33]  وارجوا أن أكون أنا هو.
[25:33 - 25:36]  فمن سأل لي الوصيلة حلت له الشفع.
[25:36 - 25:38]  يا الله المتعة.
[25:39 - 25:41]  حلت له الشفاع.
[25:41 - 25:44]  حلت له الشفاع.
[25:44 - 25:46]  وبالإن النيح حلت له الشفاع
[25:46 - 25:47]  يبين فيك زهاجه.
[25:47 - 25:50]  أول هاجه أنه كان يستحق العقاب
[25:50 - 25:52]  لنعني أشفع.
[25:52 - 25:55]  تقول لكي يوظن مرأة وشفعني.
[25:55 - 25:58]  وشفعني لنأتخلف بندري للدكتور.
[25:58 - 26:01]  يعني أنت لا تستحقني في واحد يطوصط لي
[26:01 - 26:05]  ينقلق إين إلك من الندرج الادنا للدرجة العالم.
[26:05 - 26:07]  فكانك مستحق نكتكون
[26:07 - 26:09]  النكيفوتك خير معين.
[26:09 - 26:11]  فتأتي
[26:11 - 26:12]  دعواتك
[26:12 - 26:17]  دعواتك بعد الأذان لنبي تعدك.
[26:17 - 26:20]  وفيها معنا آخر هو تجديد الوفاء
[26:20 - 26:23]  اليومي خمس مرأة لرسوللة.
[26:23 - 26:24]  صلى الله عليه وسلم.
[26:24 - 26:27]  خمس مرأة بتوع لننكل السوافي
[26:27 - 26:31]  ومشوول براجاء رسوللة.
[26:32 - 26:36]  إن النبي صلى الله عليه وسلم في معانه كدا راشاءها
[26:36 - 26:41]  أرجوع أن تكون أكثر them
[26:41 - 26:43]  أو الذي ينتكذي بعد براجاء الرسول.
[26:43 - 26:47]  أرجوه أنよろ اكثر وعرف رد لله براجاء.
[26:47 - 26:49]  أرجوها ش be right.
[26:49 - 26:51]  إ kind of نبي صلى الله عليه وسلم.
[26:51 - 26:52]  إن نبي صلى الله عليه وسلم,
[26:52 - 26:53]  إن النبي صلى الله عليه وسلم.
[26:53 - 26:55]  إن النبي صلى الله عليه وسلم.
[26:55 - 26:56]  إن النبي صلى الله عليه وسلم.
[26:56 - 26:58]  في ما عيين كدا رجاءها
[26:58 - 27:01]  أرجوه أن أكون أكثر هم تبعر.
[27:01 - 27:07]  في تحقيقها. فميج واحد يولكن تمهتم لي بالقرآن. مهتم لي بصحبة
[27:07 - 27:12]  القرآن. وانك بتنسر الفكرة دية في الناس. رأينا احققه رجهة
[27:12 - 27:19]  رسول الله. أسعى في تحقيق رجهة ومنه. ودى كان هو حبكه. وكان
[27:19 - 27:28]  يتمنكه. الله أكبر. فإذا ندريك كويس أو إن موضوعا
[27:28 - 27:35]  كل أذان عندك عرض تخذ شفاعة رسول الله. عندك عرض تخذ الشفاع
[27:35 - 27:42]  حالته جفاع. والمن قال حين يسمع النداق. الله مربه هذه الدعوة
[27:42 - 27:49]  تم والصلاة القائمة. ايت محمد من الوسيلة والفضيلة. وبعثه مقام
[27:49 - 27:56]  محمودة للده واته. إن حالته شفاعات يوم القيه. يسلم على
[27:56 - 28:03]  المتعام. كيف يكذر على أزان. يا عم ملسة في تاني. يبقى اتاني.
[28:03 - 28:09]  أنا صلى الله عليه وسلم. يقول قال رسول الله. صلى الله عليه وسلم. لا يورد
[28:09 - 28:17]  الدعاء بين الأذان والإقامة. فدروا. ياطن تسيب المباير الباو. ماذا
[28:17 - 28:21]  اختك ويتعم. وشعرف ان شفت العيش. و الله يدى كنت جميلين
[28:21 - 28:25]  واند الفرم ومشع الله رخدت اللي بالله وليش ادكد ومشعرف
[28:25 - 28:28]  الكلامد كله. ولكن صلى الله عليه وسلم. هرضه ومشعرف الكلامد
[28:28 - 28:32]  والله. التاني والتعجى. شفت الخبزة درخبزة غلي. لا غلي
[28:32 - 28:37]  تنتي بجب من نين وبهات من عبد المحاطة. راحة الليه. راح
[28:37 - 28:44]  الواقى اتطنت. راح الواقى. فدروا. لا يورد الدعاء وبين الأذان والإقامة.
[28:44 - 28:50]  يبغو في رالي زمبه. ويقول النبي وعدلي بالجنة.
[28:51 - 28:58]  واتحالوا حولته له شفاعة النبي صلى الله عليه وسلم. واخد كل العطاء
[28:58 - 29:03]  دي. ويلا يسيدي تحبه. ادعوا زي عبد الله نعمر لله
[29:03 - 29:10]  ان يقول ان رجول ان قال يا رسول الله ان المؤذنين ان المؤذنين
[29:10 - 29:18]  يفضلون انا. دي كذب يكسبون ايعن ومعديين سنوخدين اجر الاجر
[29:18 - 29:23]  اليوم واخدينه. يكفي يا جماعة. يكفي ان الله مستعملهم انهم يعلون
[29:23 - 29:33]  شعائر الله كل يوم. ضاه العظيم المؤذنين دول يوم القيامة ليه
[29:33 - 29:40]  وجرعاقا عاجب. لتخيلوا كبه. لتخيلوا ان اكتب اعد مثلا في الحيطة. حيكا
[29:40 - 29:47]  اعد مثلا في اي حي منها. عاعت في زي عيب تخيل كذب النزيد
[29:47 - 29:53]  النارضة لم يورب عفيها الازان بسلطة فكر. انت صاحي في البلقون
[29:53 - 30:00]  استنى الازان. في شعسي. زي تكاملة ان افعش ازان. او صبحان الله. تخيل
[30:00 - 30:04]  تبعى في انبابه كذب ان تسمعش ازان. وعي في العبسي الانهض ان افعش
[30:04 - 30:12]  ازان. تخيلوا ان ادايوب يوم كامل. تخيلت البدينة شهر تخيلت
[30:12 - 30:20]  البدينة حياة. ان ادينت البحياء. مسل الله ان يحي قولوب.
[30:20 - 30:26]  الذي نعيشون في بلد الكفري ولا اسمعون ازان. حتى يعلومون من
[30:26 - 30:36]  الذي فاتهم. او بعض ما فاتهم. العام قداء استعابوا رحيب انك تدرك
[30:36 - 30:43]  كلا الروح الروح كما عبن فطار ان يمحتاجة تسمع الشعير دي كل
[30:43 - 30:55]  شوية. ايجمع الشيطان لبنبيس مع الاسان بيفر وبيج. انك دائا احد اسباب احد
[30:55 - 31:00]  اسباب ان باحي الكلاب عند ازان الفك. انت تكذت لا يمارك دفك لابحا
[31:00 - 31:06]  ولكم في الحي. فلاص. لهم ارهك كله بها وها وكل عند الاسان صح. فصال
[31:06 - 31:12]  تركم كدئي وضغراء وجمع دوكم مش عرف السببي. يجي جي جي جي جي جي
[31:12 - 31:20]  لن ان الشيطان يفر الروح ان يسمع الاسان. اصبحهم يرون امالة
[31:20 - 31:26]  ترون. اذا كان الشيطين بتفرر مع نكد انك مش حتيس مع لم تسمع
[31:26 - 31:33]  عشي الاسان. الشيطين بتاعت الحي في زي دي ابتمشيش. الشيطين في النارج
[31:33 - 31:38]  يسمع تتحركش. حالة ما هذا ما فيش ازان لكن ام يجوم في ازان
[31:38 - 31:48]  تهمي تحرك وجير لي سبحان الله يفروا. فلو ما بيعمل وش كل الحجد يد.
[31:48 - 31:56]  كان اهل البلاق الذي يكون في الجب وفي جامع كيوسف. لما بيسمع الاسان من
[31:56 - 32:06]  يطم انهم سمع الاسان. واسألوا اي حد دخل جامع تيوسف. هاي
[32:06 - 32:14]  يقولكم ادئين موضوع سمع الاسان دكاً بيشعيرهم بهدو انما وطم اهنينما.
[32:14 - 32:20]  عبدو لد عمر بقول لنا ان النبي صلى الله وسلم او احد الو يا رسول الله ان
[32:20 - 32:25]  المؤذين يفضلون انا فقال رسول الله صلى الله الاسان.
[32:25 - 32:33]  كل كم ايقولون وجيوم في ايزان تهيط فسل طوعة اه فسل طوعة ايضا
[32:33 - 32:42]  اضع الجماب. كل دا جمع معي اهنا لس اصلا مطوض ناش لس مشت وضينة
[32:42 - 32:50]  وليس نخن الخلاء وبقى ان ابعى ان اتوضع اجنى ابدأ ان اتحرك سواء
[32:50 - 32:54]  لو بنت اتحرك شانت صلى الله في بيتها والله راجل يتحرك اشان ينزل
[32:54 - 33:04]  في المهزجد كل دي اعطاء اه الناس فاتتهم والتنين اي حصلوها يعني
[33:04 - 33:16]  جمع كيوصف يعني الجب اسدني يعني فتخيلوا ان العام قدى في ان اذا
[33:16 - 33:24]  انا بكلبكم في فارد واحد فارد واحد واحد سماع الفارد ويه اي ركز
[33:24 - 33:29]  وخده الاقول دي كله اي لنهولت دا جمع ايه في الازن دا انه انت حسين
[33:29 - 33:35]  هو محتاج حد من اهل ان استقوم ام ركز اوه اي ام احتاج مجهد ضخم
[33:35 - 33:40]  وليه هاجع عبرة ام احتاج بس انك تكون من تابع فراء اتعامل مع
[33:40 - 33:43]  اتعامل مع الازن زي رانت الموضل
[33:43 - 33:48]  اوه انت ام حد يرين ان ام شون تابع بيين اتكد ومن برند اوه المنطي
[33:48 - 33:53]  ضرق ام اعفوش مش مش سجل دا ان ام شاءت شكلو الدليو برشكلو كذا اتعامل
[33:53 - 33:58]  مع الانت عامل مع الازن الرانة بس دي بدا ان ما تبار انه البسار دي رانت
[33:58 - 34:05]  البسيرة اداء اتصالب الروح اتفاح المعه شيخو بنا حاجه لكن هيدك
[34:05 - 34:13]  كل حد. ريب خلصنا الازن ودر محطة الولا اخلب لك اداء اداء
[34:13 - 34:18]  دي ماجه البشر بتحول تأرب بس شنطفا وليل با العطايا لي خالق
[34:18 - 34:23]  البشر دحك اتاني خارز. حاجه خال اتاني خارز يكفي من المكاسب ان
[34:23 - 34:29]  الشيطان بي فرر. الشيطان بييدة. وبتبع لانك. واسوسيطها بتقل حاجه
[34:29 - 34:35]  كتير اوه. وليل باعد العطايا لي با بكرة فنبع اني كنبن
[34:35 - 34:40]  سألو معبا بس الله سبحانه تعالى انه فزكم ويجعل الصلاة قررتا
[34:40 - 34:45]  عين لنا ولكم. طيب الله. كله بكم يسر الله ومركم السلام وانكم
