[0:00 - 0:02]  الحمد الله رب العالمين
[19:40 - 19:41]  آتي ونتف المطار
[19:41 - 19:43]  آتي ونتف البحار
[19:43 - 19:45]  آتي ونتف استل انهار
[19:45 - 19:47]  آتي ونتف الصحراء
[19:47 - 19:49]  ونتف كل مكان آتي
[19:49 - 19:50]  فرمت استحد الموضوع ده
[19:50 - 19:51]  آتي نفسك
[19:51 - 19:52]  راية
[19:52 - 19:54]  إنشاء الله في كل الأوقات
[19:54 - 19:56]  والذلك
[19:56 - 20:00]  رضي الله عن الصحابي الجليل
[20:00 - 20:02]  لما
[20:02 - 20:05]  خاص كانوا هي
[20:05 - 20:06]  هي صلوب
[20:06 - 20:08]  خباب
[20:08 - 20:10]  اللهم دعوني وصد
[20:10 - 20:11]  أنا عوزة صل
[20:11 - 20:12]  عافل حالاته
[20:12 - 20:13]  حالاته
[20:13 - 20:14]  أو في الحالاته
[20:14 - 20:16]  أنا وصد في كل حالاته
[20:16 - 20:18]  شنكد من أول
[20:18 - 20:20]  بعد كده القبس الذي بعد جدا
[20:20 - 20:22]  فجر خشوعك من حالاتك الطارية
[20:22 - 20:24]  يعني مارع من زرفك
[20:24 - 20:26]  المكان الذي انتفين
[20:26 - 20:28]  صرف الزمن و المكان
[20:28 - 20:30]  و مارع من حالاتك
[20:30 - 20:32]  تعني انت استسمير
[20:32 - 20:34]  الزرف الذي انتفين
[20:34 - 20:36]  الزرف الزمن
[20:36 - 20:38]  سوى انت بتصدق الصبح
[20:38 - 20:40]  سوى بسوى بسوى بلليل
[20:40 - 20:42]  بتصدق الطريق
[20:42 - 20:46]  بتصدق صفى بسوى بلليل
[20:46 - 20:50]  وبضار على أي محطة بنزينة سنتصلي
[20:50 - 20:52]  مختلف تماما
[20:52 - 20:53]  تماما
[20:53 - 20:54]  حضور الصلاة هنا
[20:54 - 20:56]  و انتفى الصلاة في مكانك في بيتك
[20:56 - 20:58]  مختلف تماما
[20:58 - 21:00]  هنا و انتفى الطريق
[21:00 - 21:01]  كأنك بتقول لها رب
[21:01 - 21:02]  لن يشغلني
[21:02 - 21:03]  في طريق
[21:03 - 21:05]  و سير الحسي
[21:05 - 21:07]  شيء عن سير المعنوي
[21:07 - 21:08]  معك
[21:08 - 21:10]  أنا
[21:10 - 21:11]  مقدرش
[21:11 - 21:12]  يا رب أطرق
[21:12 - 21:14]  هذا أصدقني في أي شيء
[21:14 - 21:16]  في أي مكان
[21:16 - 21:17]  و اقدم بلكم
[21:17 - 21:19]  طيب بنزبا بقى الحالتي
[21:19 - 21:21]  كل انسان
[21:21 - 21:23]  عمد حالة الطريق
[21:23 - 21:24]  كان النبي إذا حزابه
[21:24 - 21:26]  أم فازا عاة الصلاة
[21:26 - 21:27]  لي
[21:27 - 21:29]  في حاجة جميلة جدا
[21:29 - 21:31]  سعيتكم وانا بتكلم في الباب
[21:31 - 21:33]  ته في الفكرة القبزة
[21:33 - 21:37]  لوحنا خدنا من نيمن قصة سيدنا موسى
[21:37 - 21:39]  إني أنا استونار
[21:39 - 21:41]  إني أنا استونار
[21:41 - 21:43]  هو سيدنا موسى
[21:43 - 21:46]  فقدر خشوع من الحالة الطريق دي
[21:46 - 21:48]  لما قال إني أنا استونار
[21:48 - 21:50]  و تكلم
[21:50 - 21:52]  فستغل لسيدنا موسى
[21:52 - 21:54]  أسناق لقائه
[21:54 - 21:57]  إني أنا خلص يوب في موجه مع فيرعون
[21:57 - 21:59]  عفوان في موضوع موجه فيرحون
[21:59 - 22:01]  لما جي و جه فيرعون
[22:01 - 22:03]  استغل لسيدنا موسى
[22:03 - 22:05]  الحالة الطريقة دي بي
[22:05 - 22:07]  أنه طرق من ربنا
[22:07 - 22:09]  طلبات كتيرة جدا
[22:09 - 22:10]  منها
[22:10 - 22:12]  هرون أخي
[22:12 - 22:15]  فبدأ يطلب سيدنا هرون
[22:15 - 22:16]  سبحان الله
[22:16 - 22:18]  فهو استغل
[22:18 - 22:20]  و استسمر الحالة الطريق دي
[22:20 - 22:22]  في زي كما قنا من شوية
[22:22 - 22:25]  كان إذا حزبه أمر
[22:25 - 22:27]  فهذا عاة
[22:27 - 22:28]  إنه الصلاة
[22:28 - 22:30]  إنه الصلاة
[22:30 - 22:33]  ما هم هاتغلبك لهموم
[22:33 - 22:34]  والديون
[22:34 - 22:35]  والغموم
[22:35 - 22:38]  لان أبداً
[22:38 - 22:39]  أبداً
[22:39 - 22:41]  تشوش عليك
[22:41 - 22:43]  إن الله يراكحينا
[22:43 - 22:45]  تقوم و أنت عبده المهموم
[22:45 - 22:47]  أصاحب الديون
[22:47 - 22:48]  يراك
[22:48 - 22:51]  و أنت وحده بشكل إفضاء
[22:51 - 22:54]  و أنت أعتدت كل مع الله سبحانه وتعالى
[22:54 - 22:57]  وتوقع على العزيز الرحيم
[22:57 - 22:59]  الذي يراك
[22:59 - 23:01]  حين تقوم
[23:01 - 23:02]  سبحان الله
[23:02 - 23:05]  فئزاً
[23:05 - 23:07]  بنقول
[23:07 - 23:09]  إن حالاتك الطريقة
[23:09 - 23:11]  استغلت
[23:11 - 23:13]  من حالاتك
[23:13 - 23:15]  خشوك
[23:15 - 23:17]  يعني هل لكم هك
[23:17 - 23:19]  في واحد عندهم
[23:19 - 23:21]  عندهم
[23:21 - 23:23]  عارفين
[23:23 - 23:25]  أما تقوم بتقول مع واحد
[23:25 - 23:27]  تقول اللي بخليك
[23:27 - 23:29]  ما تخشعش في الصلاة
[23:29 - 23:31]  و تلقى بعض الناس يقول لك همومي
[23:31 - 23:35]  بعض الناس يقول لك هموم كدفة بنشاء لنا
[23:35 - 23:37]  بعض الناس يقول لي زنوبي
[23:37 - 23:39]  بعض الناس يقول و ساوش الشيطان
[23:39 - 23:41]  و سيكون لدينا منه
[23:41 - 23:43]  صحيق لها
[23:43 - 23:45]  يجد من ضمن الحجب عن الخشوع
[23:45 - 23:47]  كيف نقل بالحجب
[23:47 - 23:49]  تكون أبوب
[23:49 - 23:53]  من زين خلال الحجاب باب
[23:53 - 23:55]  و زين خلال القواطع روافع
[23:55 - 23:57]  الهم حول الردوع
[23:57 - 23:59]  اتخل عليه بهمك
[23:59 - 24:01]  و كن مع الله بهمك
[24:01 - 24:03]  اتخل على الله بهمك
[24:03 - 24:05]  أول رب أن تمسى مهم
[24:05 - 24:07]  عليك دين
[24:07 - 24:09]  حلص
[24:09 - 24:11]  فدوط خلالي بهمك
[24:11 - 24:13]  يا رب
[24:13 - 24:15]  يا رب
[24:15 - 24:17]  أنا روحي تادي
[24:17 - 24:19]  يا رب زوجت عبني
[24:19 - 24:21]  يا رب زوجت تعباني
[24:21 - 24:23]  يا رب يا رب أدخل عليه
[24:23 - 24:25]  أبقى على هم مكسيد
[24:25 - 24:27]  مش عول لكشي الهم مقل حاجة
[24:27 - 24:31]  و اعتبر شكوه ناج به الله
[24:31 - 24:33]  تكون من أهل اللي الخشوع
[24:33 - 24:35]  فهنا ألبنا الحجاب باب
[24:35 - 24:37]  كان يحجبني عن الخشوع
[24:37 - 24:39]  فسار بابي إلى الخشوع
[24:39 - 24:43]  فهنا تنتقل القواطع لروافع
[24:43 - 24:45]  دين بلكم
[24:45 - 24:47]  أشنع من أدب أفكجر خشوع
[24:47 - 24:49]  من حلتك الطارئة
[24:49 - 24:51]  دبأهي جو تاني خالص
[24:51 - 24:55]  الاسمبر
[24:55 - 24:57]  الاسمبر
[24:57 - 24:59]  معندز نوب ونبهد لتنيو
[24:59 - 25:01]  تعم خليني سرحان في
[25:01 - 25:03]  أص
[25:03 - 25:05]  تعمل إبا
[25:05 - 25:09]  أتخل ويجعا الزمبدا
[25:09 - 25:11]  استغفار وشعور بالحياة
[25:11 - 25:13]  ونت نخلع الصلاة
[25:13 - 25:15]  يا رب أنت أكبر من زمبي
[25:15 - 25:19]  يا رب أنت بتقوله دينة استحضر أنه يخلصك من الزمبدا
[25:19 - 25:21]  في السجود الله مباعد بيني وبين أخطايا
[25:21 - 25:23]  يا رب بسه محني
[25:23 - 25:25]  يا رب بسه محني
[25:25 - 25:27]  أعصيتك
[25:27 - 25:29]  ولكن لا أرجو طرق السجود أبدا
[25:29 - 25:31]  أعصيتك ولا أرجو أبدا
[25:31 - 25:35]  أترك الركوع ولا أترك الصلاة ولا ولا ولا ولا
[25:35 - 25:37]  يبهنا زمبدا
[25:37 - 25:39]  كان حجابا فصارة بابا
[25:39 - 25:41]  كان قاطعا فصارة رافعا
[25:41 - 25:45]  فهمن المعنظة
[25:45 - 25:49]  فالشطان عديو أسوصلك
[25:49 - 25:53]  وعد خنزب شوش عليك
[25:53 - 25:57]  بزيدا باي ينبخ شوعة
[25:57 - 26:01]  يتولي رب جهة أني الشيطان الرديم
[26:01 - 26:03]  وعرت عنه لأجلك
[26:03 - 26:05]  جهة أني يوسوصولي
[26:05 - 26:09]  فطاركته لأتازي أوليك بطرجة
[26:09 - 26:13]  يا رب الشيطان بحب ببن دلوقت في كزة
[26:13 - 26:17]  أنا أوجاهد في طرقه لأنه ووقف ونبين أعضيك
[26:19 - 26:21]  المعنظي مهماود
[26:21 - 26:25]  سواء تأكى لم تبها بالسانكة أو عشت بها بحالك
[26:25 - 26:27]  فهمتهم الفكرة ديه
[26:27 - 26:33]  يبنى تخرج خوشوعك من حلتك دي نقطة مهمة جدا
[26:33 - 26:37]  فيراك الله سبحانه وتعالحينة قوم
[26:37 - 26:39]  وأن تعبده المغموم والمهموم
[26:39 - 26:45]  فتطيلي السجود باى وتهت في بي سبحانه
[26:45 - 26:51]  وربما أخذك حال القرب فنسيتهمك وغمك ونألمك
[26:51 - 26:53]  وأخست تستغفر من ذنبك
[26:53 - 26:55]  المعنظي مهمة جدا
[26:55 - 26:59]  وستحضرتهم لا يطعمل خوشوع مختلف
[26:59 - 27:01]  وإذا وجهك أعدوك
[27:01 - 27:03]  ووالهوم
[27:03 - 27:05]  حصرتك
[27:05 - 27:07]  ما تعمل على شبعت استكنك دل المخاوه
[27:07 - 27:09]  ووساوه سهر على الصلاة
[27:09 - 27:13]  ترى مخزون استغاسة بلاية فجر من القلب
[27:13 - 27:15]  ويبدأ يخرض
[27:15 - 27:19]  وأتهاباءت لاي طعمل استغاسة
[27:19 - 27:21]  طعمل استغاسة
[27:21 - 27:23]  زهد عن نجد
[27:23 - 27:25]  جدا
[27:25 - 27:28]  طيب أفرد الأنم
[27:28 - 27:31]  مشلاع حدث في ألبي
[27:31 - 27:35]  يعني يشعيل هذه الفتيلا في روحي
[27:35 - 27:37]  مشلاع حدث أن شغل بي نعمل إي
[27:37 - 27:39]  أصنع أنت الحدث
[27:39 - 27:41]  أصنع أنت الحدث
[27:41 - 27:43]  إيزع أصنع الحدث
[27:43 - 27:47]  لما جاء رجم إلا النبي صلى الله عليه وسلم
[27:47 - 27:49]  أقال عظني وأوجزيار أصول الله
[27:49 - 27:53]  فقال إذا قمت في الصلاة كفى صلى الله عليه وسلم
[27:53 - 27:55]  بي أسلام
[27:55 - 27:57]  يعني النبي صلى الله عليه وسلم
[27:57 - 27:59]  بولوي
[27:59 - 28:01]  حلث هاتين تمشاع رسطة جلب
[28:01 - 28:03]  أشنتي الدكرخشو
[28:03 - 28:05]  حلث صلى الله عليه وسلم
[28:05 - 28:07]  أدين آخر صلى الله عليه وسلم
[28:07 - 28:09]  حدث صظه
[28:09 - 28:11]  أمبارح صظين على حدث صلى الله عليه وسلم
[28:11 - 28:13]  حلث
[28:13 - 28:15]  أدين كانت دا كان
[28:15 - 28:17]  لي كان وعد دعلي وعد كان في صلى الله عليه وسلم
[28:17 - 28:19]  حلث صلى الله عليه
[28:19 - 28:21]  حلث صلى الله
[28:21 - 28:23]  مججايب معكم وضع الخشور
[28:23 - 28:25]  يا أمي
[28:25 - 28:27]  الخشور دي شجرة
[28:27 - 28:29]  إسئيها بأحداس المسلمي
[28:29 - 28:31]  اللي بتلومي بأنه بتلومي
[28:31 - 28:33]  تلومي بتاعي لتحيب بالمسلمي
[28:33 - 28:37]  وقبنا سبحانه وتعالى
[28:37 - 28:39]  ابتلى بعض المسلميين بحاجة
[28:39 - 28:41]  يعني استغيست
[28:41 - 28:43]  الأم في فلسطين
[28:43 - 28:45]  اللي بتها مهدود
[28:45 - 28:47]  والده مفقودين
[28:47 - 28:49]  ويطر المجاعة بتحصد أطفالها
[28:49 - 28:51]  أمام عينيها
[28:51 - 28:53]  حلث تغيست دي
[28:53 - 28:55]  زي استغيست المستقر
[28:55 - 28:57]  حلث تغيست هزي استغيست
[28:57 - 28:59]  ويهد
[28:59 - 29:03]  يولادوا بنخلين في مستشفى
[29:03 - 29:05]  ويعملوا عملية استقصاد
[29:05 - 29:07]  كل واحد لي
[29:07 - 29:09]  فهل يسعك
[29:09 - 29:11]  بأن ترفعي لله في مقابل هذه
[29:11 - 29:13]  لستغيست استغيست
[29:13 - 29:15]  أبهردة
[29:15 - 29:17]  أو استغيست متفرية
[29:17 - 29:19]  علىها ولا
[29:19 - 29:21]  فذا ممكن يفقر عندك الخشوة
[29:21 - 29:23]  إنك شوفي خواتك
[29:23 - 29:25]  هم بيستغيس
[29:25 - 29:27]  وربنا زي
[29:27 - 29:29]  وينت احد بتستغيست استغيست بيرد
[29:29 - 29:31]  بتدويد عائق
[29:31 - 29:33]  أبرد من التلجف التلجة
[29:33 - 29:35]  إيههههه
[29:35 - 29:37]  إيههه مفيش خالص
[29:37 - 29:39]  إذا في الأوأدي
[29:39 - 29:43]  تلاقي بأن الخشوعة يتفجر بطعمل لستنصر
[29:43 - 29:45]  وبطعمل الترار
[29:45 - 29:47]  أرلا
[29:47 - 29:49]  وهو من يراك ويراهم
[29:49 - 29:51]  استغيست تناسب حالهم
[29:51 - 29:55]  استغيست من يقول لربهه مني
[29:55 - 29:57]  وانمنهم
[29:57 - 29:59]  أنت ربطة ربطة علاقة بهم
[29:59 - 30:01]  إنهم إخواتي فيك أحدك
[30:03 - 30:05]  أغيرت عالي
[30:05 - 30:09]  أغيرت عليهم من غيرت عليكلمة التوحيد
[30:11 - 30:15]  غيرت أن ينتصر الصديب على كلمة التوحيد
[30:15 - 30:21]  أغيرت أن ينتقم معادوكم أو الياك
[30:21 - 30:23]  هنا بعد إلي
[30:23 - 30:25]  إذن في خشوع بيك
[30:25 - 30:27]  يبدأ الخشوعيك
[30:27 - 30:29]  لكن طول ما
[30:29 - 30:31]  من تظر
[30:31 - 30:32]  إن
[30:32 - 30:34]  إذن الخشوعيك بطريقة
[30:34 - 30:36]  أوحد لس محددة لأقى
[30:36 - 30:37]  نهن بلكم
[30:37 - 30:39]  أن معاندي مهمة أو يدركها
[30:39 - 30:41]  في المعاندي يدركها
[30:41 - 30:43]  تشتكي
[30:43 - 30:45]  أنت بتشتكي
[30:45 - 30:47]  أن نمفش دروس دينيا
[30:47 - 30:50]  بتشتكي أن نمفش مرابين
[30:50 - 30:53]  أنت بتشتكي أن نمفش محفظين قرآن
[30:53 - 30:55]  في الحيب تعاك
[30:55 - 30:57]  بتشتكي أن نمفش مسااجد
[30:57 - 30:59]  تصالفها الطروية
[30:59 - 31:00]  مش دي كل أشاكاوة
[31:00 - 31:02]  أه خودة ودخل بها
[31:02 - 31:04]  خودة ودخل بها
[31:04 - 31:06]  الصلاة
[31:06 - 31:09]  دعاء للمصلاحين أن يسمبته
[31:09 - 31:13]  وأن يكثيره ملاس بحانوات عالة
[31:13 - 31:15]  وأن تشيره في الأمة
[31:15 - 31:17]  دعاء أن يحميه ملاس بحانوات
[31:17 - 31:19]  أن يحرصه ملاس بحانوات عالة
[31:19 - 31:21]  فقد أربع الحاجدية يلهي
[31:21 - 31:24]  إن دينيا لكن دا يتكتفي بي
[31:24 - 31:26]  أبنان دين من الظالمي
[31:26 - 31:27]  وخلوة سنموضر
[31:27 - 31:29]  مفيهمتوا يعني أن نكتور بطصال أتك
[31:29 - 31:32]  بحالك وحوال أمتك
[31:34 - 31:37]  دي يحان شاء الله الحاجدية
[31:37 - 31:39]  تتكون الري المينة
[31:39 - 31:41]  الحتس يشجر التوحي
[31:41 - 31:43]  شجر التخشوع عقم شاء الله
[31:43 - 31:45]  من الأقباس
[31:45 - 31:47]  والقباسات الجميلة
[31:47 - 31:49]  تفاع المعاش تياققة
[31:49 - 31:51]  ولو كنت في مضجعك
[31:51 - 31:53]  ولو كنت في مضجعك
[31:53 - 31:55]  النبي صلى الله عليه وسلم
[31:55 - 31:58]  من أوئ المنزل عليها إقرأ
[31:58 - 32:02]  لما حدثا ونزل عليها إلا الوحي
[32:02 - 32:05]  كان النبي صلى الله عليه وسلم
[32:05 - 32:07]  يرتجف وآده
[32:07 - 32:09]  أم يشتاقه
[32:09 - 32:10]  فوااده
[32:10 - 32:12]  يعني كان مشتاق ولكن يرتجف
[32:12 - 32:14]  كان يرتجف
[32:14 - 32:15]  صح
[32:15 - 32:16]  وخيف
[32:16 - 32:18]  ولما الأقرأ
[32:18 - 32:19]  قالوا ما أنا بقارك
[32:19 - 32:21]  ويفى النبي صلى الله عليه وسلم
[32:21 - 32:23]  تخضص الله
[32:23 - 32:25]  سؤالي بعب عبعد فطرة
[32:25 - 32:26]  بدأ سيدن النبي
[32:26 - 32:28]  ننننني صلى الله عليه وسلم
[32:28 - 32:29]  ينتظر وجبريل
[32:29 - 32:32]  ويقول لهما لكلات أثيين
[32:32 - 32:34]  أني لا أشتاقوا لك
[32:34 - 32:36]  فنتقل من مشفق
[32:36 - 32:37]  إلى مشي
[32:37 - 32:39]  مشتاق
[32:39 - 32:42]  من مشفق إلى متشووق
[32:42 - 32:43]  بأخلاص
[32:43 - 32:44]  دخل فحتتتني
[32:44 - 32:46]  هل زي أنت بكدة
[32:46 - 32:49]  زي أنت بفل الصلاة نون
[32:49 - 32:52]  بدأ مكانت بفل الصلاة معكتئيلة
[32:52 - 32:55]  وفيها قدر كده من ميعني بتشفق على نفسك
[32:55 - 32:59]  وبتعطيك إلا تنتقل لمرضوع ممتشووق
[32:59 - 33:03]  فهو هتصل لدرجة التفاعل معشتيق
[33:03 - 33:06]  ولو كنت في مطجعك يا عائشة
[33:06 - 33:09]  ذريني أتعبد الليلة لربي
[33:09 - 33:10]  إلا حصل
[33:10 - 33:12]  إني أنا استنار
[33:12 - 33:14]  دأبس إني أنا استنارًا وضياءً
[33:14 - 33:15]  وشوطة
[33:15 - 33:19]  فيه أنا شيف بصيس نور في الواضل مهجور
[33:19 - 33:20]  حراص
[33:20 - 33:23]  واضل قلب أنا عوز أو متحرك
[33:23 - 33:25]  الله رأك بر
[33:25 - 33:27]  وهل تزن النتجاف ده
[33:27 - 33:30]  ونتسيب مطجعك في الليلة الباردة
[33:30 - 33:32]  و الله العظيم في فرسة ده
[33:32 - 33:33]  بدهب
[33:33 - 33:34]  إحنا مخبلين عليه
[33:34 - 33:36]  وهي رمضان في الليل
[33:36 - 33:38]  في الليل الشتاء
[33:38 - 33:41]  ودل واقع تبرضه يا فرسة جميلة
[33:41 - 33:43]  اجماء نعيم ممعدة
[33:43 - 33:46]  من نعم اللهي التي
[33:46 - 33:50]  أنزلها يتلذد بها أهل الآخر
[33:50 - 33:53]  حتى يلقون ربهم
[33:53 - 33:57]  هم أنهم يقفون بين إيديهم في الصحر
[33:57 - 33:59]  دن عيم من عيم ربنا سبحانه وتعالى
[33:59 - 34:01]  مدهولهم كذي
[34:01 - 34:02]  اطنق شهدك ده
[34:02 - 34:05]  وخدو ده وشهد داعوب المتيج
[34:05 - 34:07]  توعان بي في الحياة الدنيا
[34:07 - 34:09]  اللي التجافي ده
[34:09 - 34:11]  اللي لقائر بك
[34:11 - 34:13]  ونتبت تجافع عن المطاجع
[34:13 - 34:17]  و بتؤوم تجدهم حبة لله في قلبك
[34:17 - 34:18]  تتعاظهم
[34:18 - 34:20]  تجده شتياء
[34:20 - 34:24]  تجده شتياء يقيمك إلى اللهم المطرعك
[34:24 - 34:27]  بحبة كل حب جنبك
[34:27 - 34:29]  اي تجافعا للدائز
[34:29 - 34:31]  محب حقا
[34:31 - 34:33]  بتسبه تسبق اللقاء
[34:33 - 34:36]  هتلئه انتراء يحتى توضة
[34:36 - 34:38]  هتلئه انت بتسجد
[34:38 - 34:39]  و انت بتركع
[34:39 - 34:41]  و انت بتقرأ
[34:41 - 34:44]  والله ولو كانت ركعت ويتر
[34:44 - 34:46]  احساس مبهر
[34:46 - 34:48]  احساس مبهر
[34:48 - 34:50]  ننا اي من رب لك
[34:50 - 34:52]  و لو كنت في مطجعك
[34:52 - 34:54]  فتفاع المعشتيق
[34:54 - 34:56]  و لو كنت في مطجعك
[34:56 - 34:58]  اشنت عيش
[34:58 - 35:00]  نعيم من نعيم
[35:00 - 35:03]  و انه إلى ربك المنته
[35:03 - 35:06]  من الحاجات المهمة
[35:06 - 35:10]  وهي أنك تنوى عزكار الصلاة
[35:10 - 35:14]  تنوى عزكار الصلاة
[35:14 - 35:16]  حتى تثجة
[35:16 - 35:18]  بأن وعال خزائن
[35:18 - 35:20]  خزائن
[35:20 - 35:22]  لا يشكو غالبا
[35:22 - 35:24]  من جمود القلب في الصلاة
[35:24 - 35:28]  عبك إلا و تجد في الغالب
[35:28 - 35:31]  سابت على ذكر وحد لكل ركن من أركان الصلاة
[35:31 - 35:33]  مبه غير رش
[35:33 - 35:35]  أو سابت
[35:35 - 35:37]  تب سيدنا مسبع علبنا
[35:37 - 35:38]  في رحلةه
[35:38 - 35:41]  معنة تاني كين نسبحك كثيرة
[35:41 - 35:43]  و اند كورة كثيرة
[35:43 - 35:44]  عامه الأطاء
[35:44 - 35:46]  في أزكار كثيرة في الركور
[35:46 - 35:48]  فأزكار كثيرة جدا في السجود
[35:48 - 35:50]  في تنوى
[35:50 - 35:52]  أي كتاب في الصلاة
[35:52 - 35:53]  هتلاي
[35:53 - 35:54]  احن نولي في الغشوة
[35:54 - 35:55]  أزكار الغشوة
[35:55 - 35:57]  وياريت الشرف
[35:57 - 35:59]  يعني جمع بعد الأزكار
[35:59 - 36:01]  اللي بتتقال في الركور
[36:01 - 36:02]  والسجود
[36:02 - 36:04]  و الأزكار من وعدية
[36:04 - 36:06]  وينشورها
[36:06 - 36:08]  العلال الله ينفع بها بيزن الله
[36:08 - 36:10]  فكرة أنك تنوى
[36:10 - 36:12]  أنك تنوى
[36:12 - 36:14]  تجد سبحان الله
[36:14 - 36:17]  كأنك أول مرة تخشع في الركندة
[36:17 - 36:19]  و سبحان الله جماع
[36:19 - 36:20]  بالتجربة
[36:20 - 36:23]  حتى لأن الموضوع بيسر في بائص صلاة
[36:23 - 36:25]  أحفظ كل الأزكار جديدة
[36:25 - 36:26]  ولا عالفترات
[36:26 - 36:29]  فلعلكة تتزوق ما تزوقه
[36:29 - 36:30]  بعض ما تزوقه
[36:30 - 36:31]  رسول الله
[36:31 - 36:33]  صلى الله عليه وسلم
[36:33 - 36:35]  أنك تتزوق
[36:35 - 36:36]  تتزوق
[36:36 - 36:37]  أحفظها
[36:37 - 36:38]  وتبدأ باي
[36:38 - 36:40]  تأرب مرة
[36:40 - 36:41]  وتقول لذكردا أن نهارضه
[36:41 - 36:42]  وبكرة بعد
[36:42 - 36:45]  من الحاجات المهمة جدا
[36:45 - 36:47]  ألوهية
[36:47 - 36:49]  فكرين لما أقولت الحطركم
[36:49 - 36:51]  حماية أجواء الصلاة
[36:51 - 36:54]  فلما تكلامنا في ساعة الصراع الكبر
[36:54 - 36:57]  إحنا بأحاوز نحرص
[36:57 - 36:59]  حراصة موضوع الصلاة
[36:59 - 37:01]  موضوع الصلاة
[37:01 - 37:02]  موضوع الصلاة
[37:02 - 37:03]  موضوع الصلاة
[37:03 - 37:04]  ما أماكن الصلاة
[37:04 - 37:05]  المكان لنا صلفي
[37:05 - 37:07]  أحرص الزي
[37:07 - 37:09]  أن نبي صلى الله عليه وسلم
[37:09 - 37:10]  شروع
[37:10 - 37:12]  شروع للمصلي
[37:12 - 37:14]  أن يمن حد مرن علي
[37:14 - 37:16]  ويقاتلوا يعني يتفع
[37:16 - 37:18]  لحماية
[37:18 - 37:20]  الهذا الحرام المكان
[37:20 - 37:22]  في حماية
[37:22 - 37:23]  لدرجت
[37:23 - 37:25]  لو في مار هي مر
[37:25 - 37:27]  لا يعقل
[37:27 - 37:29]  ها هيوان
[37:29 - 37:30]  معزة تعدد
[37:30 - 37:31]  ونتبط صلق
[37:31 - 37:33]  اطفل
[37:33 - 37:35]  لا تسمح له بخترك هذا الموضع
[37:35 - 37:37]  لا تسمح
[37:37 - 37:39]  لا تسمح
[37:39 - 37:41]  سبحام الله
[37:41 - 37:43]  النبي صلى الله عليه وسلم
[37:43 - 37:44]  فراجاءت
[37:44 - 37:45]  شاء
[37:45 - 37:46]  جاءت عدي
[37:46 - 37:48]  تمور ربينة يدي
[37:48 - 37:49]  شديك نتي
[37:49 - 37:51]  بهما يعني الصغير
[37:51 - 37:53]  يتمور ربينة يدي
[37:53 - 37:55]  فما زال يدفعها
[37:55 - 37:57]  حتى لا سقى بطنه بالجضار
[37:57 - 37:59]  يعني دن يار بأربأربأرب
[37:59 - 38:01]  من الحطة شنهيمة
[38:01 - 38:03]  ما تعدش منهم
[38:03 - 38:04]  فمار لتمنوارات إهي صلى الله عليه وسلم
[38:04 - 38:06]  ونتبط عن خاصة بالإمام
[38:06 - 38:07]  يعني لو إمام
[38:07 - 38:08]  إمام ما يسمح شنه
[38:08 - 38:10]  الأوتة التعدد من أدامه
[38:10 - 38:12]  لكن لو المأمومة فيش مشكل
[38:12 - 38:14]  طب لأوانة بصالي الواحدي
[38:14 - 38:16]  نفس الكرام زي إمام
[38:16 - 38:17]  ونبالكم
[38:17 - 38:19]  المهنة داموهي مجدًا إدراكو
[38:19 - 38:21]  هل دا يبط الصلاة
[38:21 - 38:22]  مش هيبطل الصلاة
[38:22 - 38:24]  بسي مهمنة
[38:24 - 38:26]  تضطر بعلى حراصة الصلاة
[38:26 - 38:28]  عشن كذة
[38:28 - 38:30]  فيكرة السوترة جماء
[38:30 - 38:32]  فيكرة السوترة
[38:32 - 38:33]  الواحد جوبة في مارض الكتاب
[38:33 - 38:35]  يا جماء فين السوترة
[38:35 - 38:36]  السوترة دي ت مش مكرة حاجة
[38:36 - 38:38]  حد زهر كده وخلاص
[38:38 - 38:39]  لا
[38:39 - 38:41]  إنه بيصلاة صلى الله عليه وسلم
[38:41 - 38:42]  أرحم من أن يمن عمر
[38:42 - 38:44]  رد من الوصول إلى حجته
[38:44 - 38:45]  ليس كذلك
[38:45 - 38:47]  أرحم من أن يجعل المار
[38:47 - 38:48]  يطعطى الطويل
[38:48 - 38:50]  حتى وإلا ميجد إلا الطريق
[38:50 - 38:52]  بين يدي مصنن
[38:52 - 38:54]  لا يمر وإنتال الزمن
[38:54 - 38:55]  يقول إنه بيصلا الله
[38:55 - 38:56]  يا سلم
[38:56 - 38:57]  إنه صلى أحدكم إلى شيء
[38:57 - 38:59]  يستره من الناس
[38:59 - 39:01]  فأراد أحد أن يتزبين إيديه
[39:01 - 39:02]  فليتفع
[39:02 - 39:04]  فإذا أبف اللي قاتله
[39:04 - 39:06]  ابنعوا في النموشي طاني
[39:06 - 39:08]  يعني الشطان مستسمر الحاجدية
[39:08 - 39:10]  وأعدي يأزه أزه
[39:10 - 39:12]  صلى الله عليه وسلم
[39:12 - 39:13]  درجت
[39:13 - 39:15]  قال النبيين صلى الله عليه وسلم
[39:15 - 39:16]  لو يعلم المار
[39:16 - 39:18]  بين يدي مصلي ماذا
[39:18 - 39:21]  عليه لكان أن يقف أربعين خير الله
[39:21 - 39:23]  من أن يمر بين يديه
[39:23 - 39:24]  درجت رو الحديث
[39:24 - 39:25]  بقول مش عرف
[39:25 - 39:27]  قصد النبي 40 يوم
[39:27 - 39:29]  واللربعين شهر واللربعين سنة
[39:29 - 39:31]  40 خلينا نول 40 دي
