[0:00 - 0:04]  أسلامانيكم ورحمة الله ومنعيكم
[22:53 - 22:57]  بعد إنه فبيسموها إن التعليلي
[22:57 - 23:00]  يعني مقول لك مسلاة
[23:00 - 23:03]  قريق أقول لكي أمر
[23:03 - 23:05]  أومي
[23:05 - 23:08]  جهز الأك
[23:08 - 23:12]  عشان والديك جي
[23:12 - 23:14]  ومعضوا يوف
[23:14 - 23:16]  يهز الطعام
[23:16 - 23:22]  إن الأبواب إن نديبها بسموها إن عشان
[23:22 - 23:26]  وخلب بكم لانت أمرتين بالأمر ده عشانكز
[23:26 - 23:29]  فربن يقول لنسيدنا موسع
[23:29 - 23:35]  وأقل مصلاة لذكري إن الساعة أتيها
[23:38 - 23:44]  ولذلك استحضار الساعة بين عين المصدق
[23:44 - 23:50]  هو من أوائل ما يضبط خشوعك
[23:50 - 23:53]  ولذلك يجب معانا بعد فطرة
[23:53 - 23:58]  كالام النبي صلد صلات موضع صلى الله عليه وسلم
[23:58 - 24:02]  هنا ذلك إن الساعة أبو نسبة الأيبي
[24:02 - 24:06]  ويمكننا كنت سمعتكم أبل كده تلاوت البن لها
[24:06 - 24:12]  بأن الشيخ البنة عم بي يقرأ الأيبي
[24:12 - 24:14]  بيؤف الوقف ده
[24:14 - 24:17]  عن الوقف كده جميلية
[24:17 - 24:20]  يقول إن الساعة أتيها
[24:20 - 24:22]  ويوف
[24:22 - 24:26]  وبعد كده يقول هكمان ويصد أكال وحيها
[24:26 - 24:29]  لتنظر كل نفسا بما تساعة
[24:29 - 24:32]  لكن النبي دايا إن الساعة أتيها
[24:32 - 24:36]  ويجب أن نحتاجها تسبب كده في خلفية المباية
[24:38 - 24:41]  كان في مرة في أم الأيام
[24:41 - 24:45]  عمنا النشاط كده فرقول لليخ و لو في مدن كذا
[24:45 - 24:48]  مدن يعني مصور معاندنا
[24:48 - 24:51]  أو ذن مضع كده شاشة
[24:51 - 24:54]  ويبنستقر أحاجة
[24:55 - 24:59]  بس هو مش معاوات إن نصدية
[24:59 - 25:01]  ويقرأ أحاجة أحدة
[25:01 - 25:04]  وكل واحد ألكلان كده فكتنه لتلهم الأيدي
[25:04 - 25:06]  تلهم حط الأيدي
[25:06 - 25:08]  ويسمع البدنه هو بقرأ
[25:08 - 25:11]  إن نصاعة أتيها
[25:11 - 25:13]  فنترى هي الشوغل
[25:13 - 25:15]  تجتأف عن دل إشارة
[25:15 - 25:17]  تدزكر غرس الإنزار
[25:17 - 25:20]  إن نصاعة أتيها
[25:20 - 25:24]  نزل من بته مدىي أجد من زوجها
[25:24 - 25:26]  عشان مجبش ليها الحزاء
[25:26 - 25:28]  اللي كانت عوزاء
[25:28 - 25:29]  ومتخن معاوه
[25:29 - 25:31]  عوزة رضع علي
[25:31 - 25:33]  ويقوله حس في الله نعمل ركيل
[25:33 - 25:34]  ومشعرفي معاوه
[25:34 - 25:36]  انت بحبك زي الأول
[25:36 - 25:38]  ومهما أخلت السكهي
[25:38 - 25:40]  معاوه نزل وركب العربية
[25:40 - 25:42]  واللتكس وقفه هنا
[25:42 - 25:46]  فتسمى إن نصاعة أتيها
[25:46 - 25:48]  يعني إن نصاعة أتيها
[25:48 - 25:52]  يعني هل يصرق المغفل ان تعملت لها
[25:52 - 25:54]  يوم ساعة لني
[25:54 - 25:56]  وهل يصرق إن
[25:56 - 26:00]  لو الساعة تعتجد الوائة يومت في الطلع دية
[26:00 - 26:01]  النهار ده مرجع
[26:01 - 26:02]  تشل زوج في النهي
[26:02 - 26:04]  صرق جداً إن دية
[26:04 - 26:06]  إتأبل الملايكة
[26:06 - 26:09]  يجيييي أصطانا جتل قلتت حزن
[26:09 - 26:12]  عبت جتل قلتة من الحزن فموته وغتلكم
[26:12 - 26:14]  إي من اللحصل أحزنت علي
[26:14 - 26:19]  فاي القتس والحزنت على حال المسلمين
[26:19 - 26:21]  لأنه زلت شنجة الجزمة
[26:21 - 26:23]  تبه هتل ما أسى واحد وربعين
[26:23 - 26:26]  صامرة جبل ما أسى واحد وربعين
[26:26 - 26:28]  صاري
[26:28 - 26:32]  الدجاية دكاً أخر حاجة في الدنيا
[26:32 - 26:34]  أو أفلت السكة في شكنا
[26:36 - 26:39]  إن الساعة تعتيا
[26:40 - 26:42]  يا الله
[26:42 - 26:44]  لما بنستحضر
[26:44 - 26:48]  ونوتركم بالقصدية بالكيدة
[26:48 - 26:50]  أنه واحد زعلان مع زكتو
[26:50 - 26:54]  فايا زكتو دية حزاء بتاعها
[26:54 - 26:58]  يعني بي سوقت كدام أطوى من أدام
[26:58 - 27:01]  عيب بعض ممشي
[27:01 - 27:03]  كدل العدبة كدى المنظر لنا فيندا
[27:03 - 27:05]  فالله مش عجدني
[27:05 - 27:06]  ونسألها جبلك حزاء
[27:06 - 27:08]  وتعلى أمها لازم أرجع دروات
[27:08 - 27:10]  ووهو رجل مش مؤفل وسفعنا
[27:10 - 27:12]  وو مش معايا مسكين
[27:12 - 27:15]  وهو بيسعى في رضاهة
[27:15 - 27:17]  بس في الوقت دم كانت شمع
[27:17 - 27:19]  فايا مهم كل ميمين
[27:19 - 27:21]  كل مشمال بتاع رحض زعلانة
[27:21 - 27:22]  فأنا حلقة
[27:22 - 27:24]  يعني أنا أرجع مش طلع مش مشوضة
[27:26 - 27:28]  فبيقول سبحان الله
[27:28 - 27:29]  حاجل واحدة
[27:29 - 27:32]  إنه هو تزكرها في المشهدة
[27:32 - 27:33]  وخلصها يحديمشي
[27:33 - 27:34]  وهو هي مشيه
[27:34 - 27:35]  نوه يحبو مشوار
[27:35 - 27:37]  مشواره هي احترج على بي
[27:37 - 27:39]  فألاطي لها أولك حاجة أحدث
[27:39 - 27:40]  أهت لون
[27:40 - 27:42]  لها لونى متد الوقت
[27:42 - 27:43]  ونت متد الوقت
[27:43 - 27:44]  إن أبر ربنا
[27:44 - 27:46]  وأخر حاجة مدخلين عليها
[27:46 - 27:47]  جزمة
[27:47 - 27:52]  هنموت وحن متخانين على جزمة
[27:52 - 27:54]  متخصمين على جزمة
[27:54 - 27:59]  إن الساعة آتيها
[27:59 - 28:03]  الله أكثر
[28:03 - 28:06]  أخر حاجة
[28:06 - 28:09]  أخر حاجة كانت بينك وبين بينك
[28:09 - 28:11]  ما يمتهم عايطة
[28:11 - 28:13]  عشان إيا
[28:13 - 28:16]  عشان بتحظر هي وخته
[28:16 - 28:18]  وصوتها عايلي رحت أيم
[28:18 - 28:19]  ومتخاني أتا
[28:19 - 28:21]  والبنت من النمت من الرعب
[28:21 - 28:22]  ومرعوبة
[28:22 - 28:24]  وتسحيط ملئتاش
[28:24 - 28:26]  دي كانت آخر
[28:26 - 28:27]  حاجة بينك وبينها
[28:27 - 28:31]  آخر صلتها
[28:31 - 28:33]  لندك ونت صلتها
[28:33 - 28:34]  الفجر دروعة
[28:34 - 28:36]  ونت صلتها رحت متأخر
[28:36 - 28:39]  وصلتها بكروت
[28:39 - 28:42]  أو مصلتها
[28:42 - 28:43]  أصدرتك نام
[28:43 - 28:44]  وجيسة حسعة
[28:44 - 28:46]  وصلتها
[28:46 - 28:51]  ومتخان في المنقك إن الساعة آتيها
[28:51 - 28:53]  لما تبراجر من صفاث
[28:53 - 28:54]  ومغهد
[28:54 - 28:56]  ونتسمع الأزين
[28:56 - 28:57]  وبعدين تجيسك
[28:57 - 28:58]  ونشى صلتها
[28:58 - 29:00]  ونشى صلتها في المزجر
[29:00 - 29:01]  لما تستحد أن يلمون
[29:01 - 29:03]  ونتبقى آخر صلتها
[29:03 - 29:04]  إلا يحسن
[29:04 - 29:06]  هاتهوه تجري
[29:06 - 29:09]  يبقى إذا إن الساعة آتيها
[29:09 - 29:11]  بتوفر كتير جدن في العلقات
[29:11 - 29:14]  بطوفر كتير جدن جدن جدن فيه
[29:14 - 29:18]  في علاقة قبل الله في عباتك
[29:18 - 29:19]  في طاقك
[29:19 - 29:21]  وخنين بلكم
[29:21 - 29:22]  مقرأة شوير دين نهرب
[29:22 - 29:24]  وكسلين ودخل نام
[29:24 - 29:28]  فأصدح در إن الساعة آتيها
[29:28 - 29:31]  مش ملقية مه
[29:31 - 29:33]  لأن الساعة يعني ممكن تجيب عدساعة
[29:33 - 29:35]  يعني ممكن تجيب عدساعة
[29:35 - 29:37]  يبقى آخر حاجة
[29:37 - 29:38]  سيبوردك
[29:38 - 29:40]  يعمل أمها تصف حتينتلاتة
[29:40 - 29:41]  اللي كانوا عليك
[29:41 - 29:43]  تبنشاء ضر دن أوردك بي
[29:43 - 29:44]  رمحطت جزئين
[29:44 - 29:45]  ثلووردك الحد الأدن عليك
[29:45 - 29:47]  اللي مدهوم علي
[29:47 - 29:49]  نصgoz
[29:49 - 29:51]  انتولى نبقر يومين جزئين
[29:51 - 29:52]  بس الحد
[29:52 - 29:54]  الادنة
[29:54 - 29:55]  إنه هو لو أنا أمماته
[29:55 - 29:57]  ونبغس لها مش حسيبه
[29:57 - 29:59]  هو نصgoz
[29:59 - 30:03]  ليأجاني يبقى مكتوب لكد عدك الدينة
[30:03 - 30:05]  مدوامة
[30:05 - 30:07]  إن الساعة آتيها
[30:07 - 30:10]  فربط
[30:10 - 30:13]  الصلاة بالساعة
[30:13 - 30:15]  تتعيد الصلاة
[30:15 - 30:16]  تحفى الصلاة من أفاته
[30:16 - 30:18]  الهروب
[30:18 - 30:19]  تجد ألبك
[30:19 - 30:21]  مش مشاةتة
[30:21 - 30:22]  تجد ألبك
[30:22 - 30:25]  مشتكين
[30:25 - 30:27]  إنه لخشوع
[30:27 - 30:28]  إنسادق
[30:28 - 30:30]  أو أمل لحق
[30:30 - 30:33]  أو ينظبت الدني
[30:33 - 30:35]  زكر الساعة
[30:35 - 30:38]  في المعيد لقلب العني
[30:38 - 30:40]  أو اللي براجع لها
[30:40 - 30:42]  بأمر الاسبحنات
[30:42 - 30:46]  هو الذي يوغز في المصنده
[30:46 - 30:48]  فكان الى آية بتقول لنا
[30:48 - 30:50]  ونقص سيضم موسيق
[30:50 - 30:52]  لا ترك فما هذا لقاء
[30:52 - 30:55]  اللى عدده لذاكة لقاء
[30:55 - 30:58]  هذا لقاء الذي أنت فيه الأم
[30:58 - 31:00]  وتقف بينه يديه
[31:00 - 31:03]  ونت وقف بطصد ركع تين دل وقته
[31:03 - 31:05]  ما هذا لقاء
[31:05 - 31:06]  الذي تفعليه الأن
[31:06 - 31:08]  إلا عدده لذاكة لقاء
[31:08 - 31:10]  لقاء اللي جاي
[31:13 - 31:15]  فكلما قوية قيقين
[31:15 - 31:17]  وكبذكر الآخر
[31:18 - 31:20]  وقتر بالقاء الله
[31:20 - 31:22]  من عيني بصيرتك
[31:22 - 31:24]  كلما زاد خشوع صلاة
[31:25 - 31:27]  وزلقان الله سبحانه
[31:27 - 31:29]  تعالى في سورة البراكة
[31:29 - 31:31]  البراكة
[31:31 - 31:33]  البقرة
[31:33 - 31:34]  قال وستعين
[31:34 - 31:36]  وبالصدر والصلاة
[31:36 - 31:38]  وإنها لكبيرة
[31:38 - 31:39]  إلا على خاشعين
[31:39 - 31:41]  إلي لين الخشوع
[31:41 - 31:44]  الذين يظنون أنهم ملاقر
[31:44 - 31:46]  أنظهم يقين
[31:46 - 31:48]  في ملاقات الله
[31:48 - 31:50]  والنهم إليه رجون
[31:50 - 31:53]  لبما الذي سبت الخشوع
[31:55 - 31:57]  اللي سبت الخشوع
[31:57 - 31:58]  هو
[31:58 - 32:01]  أننا مؤمن بالدار الاخر
[32:02 - 32:03]  وعند يقيم
[32:03 - 32:05]  بالدار الاخر
[32:05 - 32:06]  ولذلك
[32:10 - 32:11]  ناس كثير
[32:11 - 32:12]  سبت الصر
[32:12 - 32:13]  سبت الصر ليام
[32:13 - 32:15]  في أوم أخر الصر
[32:15 - 32:16]  لي
[32:16 - 32:18]  والله نقول لك بصراحة
[32:19 - 32:21]  أصدنى في حاجة فوت
[32:21 - 32:22]  إهي
[32:22 - 32:24]  كنت بذكر آخر صفحة
[32:24 - 32:26]  كنت بحضر آخر كزة
[32:26 - 32:29]  كنت منتظر الدليوري
[32:29 - 32:31]  كنت في حاجة بقضيها
[32:32 - 32:33]  فإتألوا
[32:33 - 32:34]  يهي
[32:34 - 32:35]  ملحاجة التي ستفوته
[32:36 - 32:38]  وأن تأمام قاض الحاجات
[32:39 - 32:40]  إيسيد لعب كنت
[32:41 - 32:42]  إلحاجة لعب كنت
[32:43 - 32:45]  وأن تأمام قاض الحاجات
[32:46 - 32:47]  سمئة إيسيدي
[32:47 - 32:50]  إن الساعة آتي
[32:50 - 32:52]  كل الحاجات ستفن
[32:53 - 32:54]  كل اللين تمنتظر
[32:54 - 32:57]  وشاهدة وتحضير ونتحن
[32:57 - 33:00]  وصفحة وتعوب عمل البطاطس
[33:00 - 33:01]  كل دس يفنة
[33:03 - 33:05]  ويبقى قاضي الحاجات
[33:07 - 33:08]  في الحاجة لها فوتك
[33:08 - 33:10]  أنت بين أيدي قاض الحاجات
[33:15 - 33:17]  إذا أنت بتوعيد صالاتك
[33:17 - 33:18]  لناجاتك
[33:18 - 33:20]  يو إن الساعة آتي
[33:21 - 33:24]  بين تبت قصف الصلاة و بتكاروط
[33:25 - 33:27]  ونبتكلم معها
[33:28 - 33:30]  اللهي عاجة
[33:31 - 33:34]  الصلاة يجب عائشة مشاة مفاعة
[33:35 - 33:36]  لما تيج الساعة
[33:36 - 33:38]  إن الساعة آتي
[33:39 - 33:41]  الساعة الصلاة لنتشن فهدي
[33:41 - 33:44]  وعملوا التبرين دى مع ولا تكوى جماعة
[33:44 - 33:46]  سواع بعلمهم
[33:46 - 33:48]  أو الغير علنهم
[33:48 - 33:51]  وهم بيصادوا صوارهم فيديو
[33:52 - 33:54]  وبعد مطصواريها
[33:54 - 33:55]  ولا تعالي
[33:55 - 33:57]  في جلسة ودكدا ونس
[33:57 - 33:58]  مشباة كهربة
[33:58 - 33:59]  أو التعالي
[33:59 - 34:00]  تعوزت في حديد
[34:02 - 34:04]  متعلمين بسك دعالا فيديو دى
[34:04 - 34:06]  أنت حسن فيديو ده
[34:06 - 34:07]  يشارفك
[34:08 - 34:10]  أنت نشرة على صفحةك
[34:11 - 34:12]  يجب انها
[34:12 - 34:13]  شوف الله أكبر
[34:13 - 34:15]  الله أكبر على بنتي
[34:15 - 34:16]  بالله عليك
[34:16 - 34:18]  بس بسك ببرو
[34:18 - 34:19]  محدش يحسد
[34:19 - 34:21]  الله أصدر سنة دخف من الحسد
[34:21 - 34:22]  أصدر
[34:22 - 34:23]  شوفوا بنتي باسارة
[34:23 - 34:25]  بتصل للزي
[34:25 - 34:27]  توليك لا أطبع
[34:27 - 34:30]  تبن نشروف في الغروب بتاع المعلومات
[34:30 - 34:31]  نأي مامة
[34:31 - 34:32]  تبق الغروب العيلي
[34:32 - 34:33]  لا يمامة
[34:33 - 34:34]  تبنى بعاته
[34:34 - 34:36]  لبابة اللمسافة
[34:36 - 34:37]  لا يمامة
[34:37 - 34:38]  لا يمامة
[34:38 - 34:39]  تبخالوا
[34:39 - 34:40]  لأي مامة
[34:40 - 34:42]  ربق الرب جل لرعان العظيم
[34:42 - 34:45]  الجميل سبحانه وتعالى
[34:45 - 34:47]  أيليك بنا
[34:47 - 34:50]  أن تكون تلك الصلاة
[34:50 - 34:52]  يلتي نرفعه
[34:52 - 34:53]  أيلي
[34:53 - 34:57]  إن الساعة أهتي
[34:57 - 34:59]  الحجدية تترفع لي
[34:59 - 35:01]  انت عجبك
[35:01 - 35:02]  بعضنا
[35:02 - 35:05]  بالكثير من ننم ممكن يقول
[35:05 - 35:06] ها يخدها هزار
[35:06 - 35:07]  وهي عدو
[35:07 - 35:08]  والصدامة
[35:09 - 35:11]  الغرس مع الأطفال
[35:11 - 35:15]  تنقش على الأسمان المبلور
[35:15 - 35:17]  سهل جدا
[35:17 - 35:18]  وحياسبت
[35:18 - 35:20]  والدين يهتنش فيه من الأيام
[35:20 - 35:22]  وفيه من الأيام
[35:22 - 35:25]  المشهده سيفعى فيها الأفاقيل
[35:25 - 35:28]  حتى رصدت بعد المشهده
[35:28 - 35:31]  ستسابع شهور بردو بالطريقة الأديمة
[35:31 - 35:33]  لكن لا يجمع
[35:33 - 35:35]  لكله يا جماعة
[35:35 - 35:37]  تنموا بواحة يختلف تماما
[35:37 - 35:38]  من مَا إندها
[35:38 - 35:40]  إنشاء الله
[35:40 - 35:43]  فإنت بتعدى الصلاة تلك لنجاتك
[35:43 - 35:45]  ولذلك ذكر النبي
[35:45 - 35:47]  إن مقدار التخفيف
[35:47 - 35:49]  في يوم القيامة
[35:49 - 35:51]  تعالفين يوم القيامة 50 ألف سنة
[35:51 - 35:53]  قيام عند الحشرة على صح
[35:53 - 35:56]  لكن على المؤمنين النبيس
[35:56 - 35:57]  عسلم أليني
[35:57 - 35:59]  هيكون خفيف بالنقدار
[35:59 - 36:02]  ما بين الضهر والعصر
[36:02 - 36:06]  ألما أعظم الرابط
[36:06 - 36:10]  بينما يجده الخاشعون من خفط الصلاة الخشور
[36:10 - 36:13]  وبين تقدير التخفيف عليهم
[36:13 - 36:14]  هناك
[36:14 - 36:16]  لما تكون 50 ألف سنة
[36:16 - 36:18]  فهذاي مصال
[36:18 - 36:20]  الخشوع جماعة بخفف جدا نصلا
[36:20 - 36:22]  وبما التعكبيها
[36:22 - 36:24]  فالخشوع خفف الصلاة
[36:24 - 36:26]  وخفف تؤلاءها
[36:26 - 36:29]  ألسط خفف النهك بير
[36:29 - 36:31]  لكن على مين خفيفة
[36:31 - 36:33]  على الخاشعين
[36:33 - 36:35]  فالخشوع خفف الصلاة
[36:35 - 36:37]  وهيكون الصلاة
[36:37 - 36:39]  زي مخفيفة
[36:39 - 36:41]  بخشوع هي تخفف
[36:41 - 36:43]  اليوم القيامة
[36:43 - 36:45]  تخفيف
[36:45 - 36:47]  تخفيف
[36:47 - 36:50]  حتى يكون 50 ألف سنة
[36:50 - 36:53]  مقدرها كما بين الضهر والعصر
[36:53 - 36:56]  كأنك أعد يسيدي ساعتين ونصكد
[36:56 - 36:58]  يا الله
[36:58 - 37:00]  يجمع فيه في الناس
[37:00 - 37:02]  أقصي مبيرب
[37:02 - 37:04]  يوم القيامة
[37:04 - 37:06]  هاي مرع عليهم
[37:06 - 37:08]  زي كده بالزبط كأنك منتظر طيارتك في المطار
[37:08 - 37:12]  أجمع جر كده السئات
[37:12 - 37:14]  أولكت كن أبل الصعود الطيارة
[37:14 - 37:16]  بكلت سعات
[37:16 - 37:17]  صح
[37:17 - 37:19]  في الناس يجمع يوم القيامة عدهم
[37:19 - 37:20]  كله
[37:20 - 37:22]  هاي انتهي في اللقطد
[37:22 - 37:28]  فيال الصلاة ما أعضم حضورها
[37:28 - 37:30]  في مواقف القيامة
[37:30 - 37:33]  أجلك السؤال الأول في الحسب
[37:33 - 37:36]  عن الصلاة لإن الساعة أاتي
[37:36 - 37:38]  وخديم بكم من المهرب
[37:38 - 37:40]  الصلاة
[37:40 - 37:42]  بموضوع الاخرى
[37:42 - 37:44]  لقصة سيدنا موسى
[37:44 - 37:47]  وجلك أداماً أوائل مفاتيح الخشوعة
[37:47 - 37:49]  من أوائل القدسات
[37:49 - 37:52]  القدس الذي إني أناست نورة
[37:52 - 37:54]  مش نار بأع
[37:54 - 37:56]  سيدنا موسى قال ناراً
[37:56 - 37:57]  فأخذ النور
[37:57 - 37:59]  وانت تقول نوراً
[37:59 - 38:01]  وتأخذ نشاء الله
[38:01 - 38:03]  النور الممتد
[38:03 - 38:07]  الزلك السؤال الأول في الحسب عن الصلاة
[38:07 - 38:10]  فإن صلحة صلحة ساعة رحمله
[38:10 - 38:13]  وإن فسادة فسادة ساعة رحمله
[38:16 - 38:18]  طبعاً
[38:18 - 38:21]  من مفاتيح الأولى لصلاة الخشوعة
[38:21 - 38:23]  لنوطولكم برح
[38:23 - 38:25]  لما تلك ميه
[38:25 - 38:29]  أن المصصصص يستحضر أنه يناجلا
[38:29 - 38:32]  وداة أول حاجة ستحارة
[38:32 - 38:35]  فهم سيدنا موسى أنه يتكلّم مع الظاء
[38:35 - 38:37]  ولذلك أنني أنا الظاء
[38:37 - 38:39]  ذكن أول حاجة
[38:40 - 38:43]  بعد كدباً الساعة
[38:43 - 38:46]  ولذلك النبي صلى الله عليه وسلم
[38:46 - 38:49]  أعرف المؤمنين
[38:50 - 38:55]  إنه سيعرفه مغداً يوم القيامة من أثاري له روضو
[38:56 - 38:57]  يا الله الجمان
[38:57 - 38:58]  شفر للتباط
[38:58 - 39:00]  عشين كده الصلاة في الأخرى
[39:00 - 39:01]  دي مهم مجدن إدركه
[39:01 - 39:03]  وفهم أنك تفهموها
[39:03 - 39:04]  كويس
[39:05 - 39:08]  الصلاة مرتابطة رتبطة وثيق بما في الأخرى
[39:08 - 39:10]  يوم القيامة النبي عرفك الزيه
[39:10 - 39:12]  بأس روضوك
[39:12 - 39:15]  وعلينا النار بتأكل كل شيء
[39:15 - 39:17]  إلا ماضع السلود
[39:17 - 39:19]  نرم صديني يعني
[39:19 - 39:21]  واحد كان بيصدل تس وك الحق
[39:21 - 39:23]  أم مولاده
[39:23 - 39:26]  وآك الحق
[39:26 - 39:28]  رعقل والدته
[39:28 - 39:31]  وعلكته بالبشر سيئة جدا
[39:31 - 39:32]  لن في ناس أعيان
[39:32 - 39:34]  في ناسة جماء ودخة
[39:34 - 39:36]  ودينو قطم مهم مجدن
[39:36 - 39:37]  جدا جدا
[39:37 - 39:41]  لناس من أهل الاستقامة يتمنى أنه هي
[39:41 - 39:42]  اسمعها كويس
[39:42 - 39:44]  كثير
[39:44 - 39:47]  يعني كثيريحة من أهل الاستقامة
[39:47 - 39:49]  أعنده قادة
[39:49 - 39:51]  القادة هي خفية
[39:51 - 39:54]  طول مهوة فعلكتهم عربنا كويس
[39:54 - 39:57]  اهه مشفارق مع الناس
[39:57 - 39:59]  يظلم
[39:59 - 40:02]  يعق
[40:02 - 40:07]  يعني يبعنده سخرية
[40:07 - 40:09]  أعنده ما مشفارق معاً
[40:09 - 40:11]  هو عنده
[40:11 - 40:13]  عنده قادة اللي بن القيام بيول عليك
[40:13 - 40:14]  دفئ صطوة العباد
[40:14 - 40:16]  العبادة كده مديالوي
[40:16 - 40:18]  طالما أنا بصدّه يبعيّت
[40:18 - 40:19]  في قيام الليل
[40:19 - 40:21]  وباجري كتبالحة التكبرت الإحرام
[40:21 - 40:23]  بس خلاص با
[40:23 - 40:24]  دوس على الخلق كلهم
[40:24 - 40:26]  ووزلم موعمل النفس أكثي
[40:26 - 40:27]  ولا يمّت
[40:27 - 40:30]  لأن أعطب ربنا حلوة
[40:31 - 40:33]  مسكين
[40:33 - 40:35]  مسكين النزيات خالص
[40:35 - 40:37]  إن يجد
[40:37 - 40:39]  يوم القيامة
[40:39 - 40:41]  ما لا يصوره
[40:41 - 40:43]  نسلّه العفلابيّ
[40:43 - 40:46]  ومن أواء الماء
[40:46 - 40:50]  يزكره الظّاة عن أهل النعين
[40:50 - 40:53]  ومورترتبت بالإيه بالصرات
[40:55 - 40:58]  مش عرف لي بأنّ يومين بينا بن عدد النصسة أكده
[40:58 - 41:02]  ولكن في أي حاج الله لنا
[41:04 - 41:07]  ساريعنا أخلص خلاصة لدائك
[41:07 - 41:10]  فأول ما يزكر
[41:10 - 41:12]  يزكره الله سبحانه تعالى
[41:12 - 41:14]  أعن أهل النعين
[41:14 - 41:18]  لما قال إن المتقين في جدناة وعويون
[41:18 - 41:22]  آخلين ما أتهم ربهم
[41:22 - 41:26]  إنهم كانوا قد لذلك محسنين
[41:26 - 41:30]  كانوا قليل من اللي اللي ما يهنجعون
[41:30 - 41:33]  فذكر الله شيء متعلق بالصدف
[41:33 - 41:34]  وبل منزبه
[41:34 - 41:37]  لنقرأتهم لأيات لنقرأتها دروات
[41:37 - 41:39]  من صورتي
[41:40 - 41:41]  آدي الأيات
[41:41 - 41:44]  فلتيتولي تعليفكم من أي الصور
[41:44 - 41:46]  من صور أذاريات
[41:46 - 41:48]  وصورت الزاريات
[41:48 - 41:51]  هاضر فيها بكسافة
[41:53 - 41:55]  مفهوم الرزق
[41:55 - 41:57]  وأيات الرزق
[41:57 - 41:59]  خلاص
[41:59 - 42:00]  ولذلك كتير من عمي
[42:00 - 42:02]  ولكن يبتذكره معل الرزق
[42:02 - 42:04]  ومخوم الرزق الواسع
[42:04 - 42:06]  وفي السلامية للصبح
[42:06 - 42:08]  ربنا سبحانه وتعلمه
[42:08 - 42:11]  كل مرزاق دل كوة
[42:11 - 42:13]  فمن الرزق
[42:13 - 42:14]  اللذي
[42:14 - 42:17]  كان سبب أنهم في جدناة وعويون
[42:17 - 42:18]  موضوع صد
[42:18 - 42:20]  آدي درسقهم
[42:20 - 42:22]  إلي اللي اللي والصدهم هنا
[42:22 - 42:24]  الرزق التعصلة
[42:24 - 42:28]  سبحانه ويربط ربج اللي العالم
[42:28 - 42:30]  موضوع الصدف الأخرى برضه
[42:30 - 42:33]  إنما أبس جود في الدنيا مختارا
[42:33 - 42:36]  ومرة بالسجود في أرض المحشر
[42:36 - 42:38]  مرغم فلنستطع
[42:38 - 42:40]  يوم يكشف
[42:40 - 42:42]  عن ساق
[42:43 - 42:45]  وميلا شنط صدق
[42:45 - 42:46]  مش عارف يسط
[42:46 - 42:48]  لي
[42:48 - 42:50]  مخلص صنوبة في الدنيا مصلاة
[42:50 - 42:53]  وكن مكان عارف إن الساعة تأتي
[42:53 - 42:55]  ومحتمج بالموضوع دوات
[42:55 - 42:57]  فنسل الله العفو العفي
[42:57 - 42:59]  به هو مصلاة
[42:59 - 43:03]  وبتلي يوم القيامة
[43:03 - 43:05]  الله وقبف
[43:05 - 43:08]  تعجزوا عن السجود طوعة
[43:08 - 43:10]  فأعجزهم الديان
[43:10 - 43:12]  هناك كرها
[43:12 - 43:15]  ولا يظلم ربك أحدها
[43:18 - 43:20]  تواهم نفسك كدف القيامة
[43:20 - 43:21]  حشاك الله
[43:21 - 43:23]  يدعوك الله إلى السجود
[43:23 - 43:25]  فلأتطدرس
[43:26 - 43:28]  لا تقتر
[43:30 - 43:32]  يجمع لو فررة مقاتل
[43:32 - 43:36]  لو فررة مقاتل في سبيل الله في صلاة
[43:36 - 43:39]  شغل بشدائد الجهد
[43:39 - 43:41]  لا صخط الىه علي
[43:44 - 43:46]  فمحدشي قولي أصدنك أن تم أبولك
[43:46 - 43:49]  لو مقاتل في سبيل الله
[43:49 - 43:52]  ترك الصلاع شم مشقول بالقتل
[43:52 - 43:55]  لا صخط الرب علي
[43:56 - 43:59]  يوم يكشف عن ساق المنودعون إلى السجود
[43:59 - 44:01]  فلأتطيعون
[44:02 - 44:04]  لي
[44:04 - 44:06]  أخذ كانوا لدعون إلى السجود
[44:06 - 44:07]  وهم سالي مون
[44:08 - 44:11]  إذا فصلاة حاضرة في كل مواقف الحشر
[44:11 - 44:13]  في الجنة والنار
[44:13 - 44:15]  ولم يتسيل أهل النار
[44:15 - 44:16]  إلا دخلكم هنا
[44:16 - 44:17]  لنكم نمصدنا
[44:17 - 44:19]  لديكم إجردكم
[44:20 - 44:24]  أشنكي لاجماء من تعال لققلبه بالنسجد
[44:25 - 44:28]  لهم كان مخصص يوم القيام
[44:28 - 44:31]  في صلاع رش الله في المحشر
[44:33 - 44:36]  أشنكي لسورة الحشر بتاعك
[44:36 - 44:39]  والنشر والحساب والمزين
[44:39 - 44:41]  ولقاء كاللا
[44:41 - 44:44]  حتى مبني على
[44:45 - 44:47]  عدلتك هنا
[44:48 - 44:50]  ولقاء هنا
[44:50 - 44:51]  في الصلاة
[44:52 - 44:54]  وبالتالي كل فرصة
[44:55 - 44:57]  كل صلاة هي فرصة
[44:58 - 45:01]  كل صلاة فرصة جديدة
[45:01 - 45:05]  تهو ان بها عالمتسك المسكينة
